date;species;x;y;n
2005-01-05;Clupea harengus;4.06583;51.8525;1
2005-01-05;Clupea harengus;4.06667;51.85133;1
2005-01-18;Clupea harengus;4.06667;51.85133;1
2005-01-26;Clupea harengus;4.06583;51.8525;1
2005-01-26;Clupea harengus;4.06667;51.85133;1
2005-02-08;Clupea harengus;4.06583;51.8525;1
2005-02-08;Clupea harengus;4.06667;51.85133;1
2005-02-28;Clupea harengus;4.06583;51.8525;1
2005-02-28;Clupea harengus;4.06667;51.85133;1
2005-03-15;Clupea harengus;4.06583;51.8525;1
2005-03-15;Clupea harengus;4.06667;51.85133;1
2005-03-29;Clupea harengus;4.06583;51.8525;1
2005-03-29;Clupea harengus;4.06667;51.85133;1
2005-04-12;Clupea harengus;4.06583;51.8525;1
2005-04-12;Clupea harengus;4.06667;51.85133;1
2005-05-11;Clupea harengus;4.06583;51.8525;1
2005-05-11;Clupea harengus;4.06667;51.85133;1
2005-05-17;Clupea harengus;4.08167;51.98167;1
2005-05-23;Clupea harengus;3.876;51.8525;2
2005-05-23;Clupea harengus;3.90967;51.84817;2
2005-05-23;Clupea harengus;3.93383;51.86417;5
2005-05-23;Clupea harengus;3.94817;51.91183;7
2005-05-23;Clupea harengus;3.96667;51.91667;3
2005-05-23;Clupea harengus;3.97517;51.85283;16
2005-05-24;Clupea harengus;3.9585;51.93717;4
2005-05-24;Clupea harengus;4.08167;51.98167;1
2005-05-25;Clupea harengus;3.49667;51.60483;1
2005-05-25;Clupea harengus;3.50433;51.65567;1
2005-05-25;Clupea harengus;3.89533;51.8645;14
2005-05-25;Clupea harengus;3.90083;51.88;14
2005-05-25;Clupea harengus;3.92817;51.90117;3
2005-05-25;Clupea harengus;3.934;51.87967;5
2005-05-25;Clupea harengus;3.991;51.85767;15
2005-05-25;Clupea harengus;4.06583;51.8525;1
2005-05-25;Clupea harengus;4.06667;51.85133;1
2005-05-26;Clupea harengus;3.3885;51.64467;2
2005-05-26;Clupea harengus;3.44333;51.63817;1
2005-05-26;Clupea harengus;3.96333;51.88033;6
2005-05-26;Clupea harengus;3.97867;51.9295;9
2005-05-26;Clupea harengus;3.98933;51.9555;1
2005-05-26;Clupea harengus;3.99483;51.94367;4
2005-05-26;Clupea harengus;3.99983;51.9405;11
2005-05-26;Clupea harengus;4.0015;51.95533;5
2005-05-27;Clupea harengus;3.90967;51.90317;1
