FID;date;species;n;X;Y
0;5-1-2005 0:00:00;Clupea harengus;1;63963.800000000003000;430152.000000000000000
1;5-1-2005 0:00:00;Clupea harengus;1;64019.300000000003000;430021.000000000000000
2;18-1-2005 0:00:00;Clupea harengus;1;64019.300000000003000;430021.000000000000000
3;26-1-2005 0:00:00;Clupea harengus;1;63963.800000000003000;430152.000000000000000
4;26-1-2005 0:00:00;Clupea harengus;1;64019.300000000003000;430021.000000000000000
5;8-2-2005 0:00:00;Clupea harengus;1;63963.800000000003000;430152.000000000000000
6;8-2-2005 0:00:00;Clupea harengus;1;64019.300000000003000;430021.000000000000000
7;28-2-2005 0:00:00;Clupea harengus;1;63963.800000000003000;430152.000000000000000
8;28-2-2005 0:00:00;Clupea harengus;1;64019.300000000003000;430021.000000000000000
9;15-3-2005 0:00:00;Clupea harengus;1;63963.800000000003000;430152.000000000000000
10;15-3-2005 0:00:00;Clupea harengus;1;64019.300000000003000;430021.000000000000000
11;29-3-2005 0:00:00;Clupea harengus;1;63963.800000000003000;430152.000000000000000
12;29-3-2005 0:00:00;Clupea harengus;1;64019.300000000003000;430021.000000000000000
13;12-4-2005 0:00:00;Clupea harengus;1;63963.800000000003000;430152.000000000000000
14;12-4-2005 0:00:00;Clupea harengus;1;64019.300000000003000;430021.000000000000000
15;11-5-2005 0:00:00;Clupea harengus;1;63963.800000000003000;430152.000000000000000
16;11-5-2005 0:00:00;Clupea harengus;1;64019.300000000003000;430021.000000000000000
17;17-5-2005 0:00:00;Clupea harengus;1;65313.099999999999000;444502.000000000000000
18;23-5-2005 0:00:00;Clupea harengus;2;50886.599999999999000;430407.000000000000000
19;23-5-2005 0:00:00;Clupea harengus;2;53196.300000000003000;429878.000000000000000
20;23-5-2005 0:00:00;Clupea harengus;5;54896.400000000001000;431624.000000000000000
21;23-5-2005 0:00:00;Clupea harengus;7;55988.900000000001000;436906.000000000000000
22;23-5-2005 0:00:00;Clupea harengus;3;57272.199999999997000;437420.000000000000000
23;23-5-2005 0:00:00;Clupea harengus;16;57719.000000000000000;430307.000000000000000
24;24-5-2005 0:00:00;Clupea harengus;4;56755.000000000000000;439711.000000000000000
25;24-5-2005 0:00:00;Clupea harengus;1;65313.099999999999000;444502.000000000000000
26;25-5-2005 0:00:00;Clupea harengus;1;24040.799999999999000;403471.000000000000000
27;25-5-2005 0:00:00;Clupea harengus;1;24717.500000000000000;409112.000000000000000
28;25-5-2005 0:00:00;Clupea harengus;14;52245.599999999999000;431715.000000000000000
