date;species;X;Y;n
2005-01-05;Merlangius merlangus;63963.78002969679;430152.4668323236;1
2005-01-05;Merlangius merlangus;64019.28359459559;430021.2615503005;1
2005-01-18;Merlangius merlangus;63963.78002969679;430152.4668323236;1
2005-01-18;Merlangius merlangus;64019.28359459559;430021.2615503005;1
2005-02-08;Merlangius merlangus;64019.28359459559;430021.2615503005;1
2005-03-29;Merlangius merlangus;63963.78002969679;430152.4668323236;1
2005-03-29;Merlangius merlangus;64019.28359459559;430021.2615503005;1
2005-05-23;Merlangius merlangus;44154.33503103546;428807.76043939573;1
2005-05-23;Merlangius merlangus;46182.0500904331;427446.76169260073;1
2005-05-23;Merlangius merlangus;50886.62938654209;430407.21830711723;2
2005-05-23;Merlangius merlangus;53196.29032061125;429877.87514887797;9
2005-05-23;Merlangius merlangus;54896.368948212505;431624.16473769845;3
2005-05-23;Merlangius merlangus;55616.3301974066;442978.6969462739;9
2005-05-23;Merlangius merlangus;55988.93799557185;436906.25180732016;22
2005-05-23;Merlangius merlangus;56305.791205359594;444820.14968627895;11
2005-05-23;Merlangius merlangus;57272.22123319993;437419.62012159376;7
2005-05-23;Merlangius merlangus;57718.98175332513;430306.5816518363;5
2005-05-23;Merlangius merlangus;59110.01880564276;441741.88930833864;46
2005-05-23;Merlangius merlangus;59586.18308091088;441473.4785903285;2
2005-05-23;Merlangius merlangus;59997.5322781213;441409.9951617209;2
2005-05-24;Merlangius merlangus;39220.726194636256;422149.3466690959;1
2005-05-24;Merlangius merlangus;43739.22575898626;432341.5540091202;10
2005-05-24;Merlangius merlangus;45992.86674585307;437244.3976342165;3
2005-05-24;Merlangius merlangus;48905.21958197512;436644.22392058984;10
2005-05-24;Merlangius merlangus;48913.58240903045;438108.6093848695;10
2005-05-24;Merlangius merlangus;50131.7043187973;432203.56536529737;12
2005-05-24;Merlangius merlangus;51855.366058402215;436711.59489079984;1
2005-05-24;Merlangius merlangus;52752.70215929473;432928.3507815155;14
2005-05-24;Merlangius merlangus;53478.931474889774;438162.9273668896;17
2005-05-24;Merlangius merlangus;56755.04033570182;439711.08913751756;20
2005-05-24;Merlangius merlangus;57848.60809596001;442285.9681073839;59
2005-05-24;Merlangius merlangus;65313.13745379675;444502.12269743317;1
2005-05-25;Merlangius merlangus;19270.54446959353;402632.9922142446;3
2005-05-25;Merlangius merlangus;19520.316836649232;406354.99876395985;16
2005-05-25;Merlangius merlangus;19649.67570654914;410729.1663245745;11
2005-05-25;Merlangius merlangus;21867.998172367516;412617.8382556604;1
2005-05-25;Merlangius merlangus;22333.69370306481;399619.80423405627;2
2005-05-25;Merlangius merlangus;23092.741906194715;402123.1321102069;21
2005-05-25;Merlangius merlangus;24040.75322139317;403470.7847909662;16
2005-05-25;Merlangius merlangus;24797.461935498126;401021.4974646772;7
2005-05-25;Merlangius merlangus;25431.25108387196;417088.20174033934;2
2005-05-25;Merlangius merlangus;26237.622052202583;405826.09631543595;11
2005-05-25;Merlangius merlangus;29263.09744500954;405396.90825911885;7
2005-05-25;Merlangius merlangus;37385.055067527166;423861.44024240604;2
2005-05-25;Merlangius merlangus;43351.523038322935;430402.58272101235;3
2005-05-25;Merlangius merlangus;52245.62101750489;431714.58638526243;16
2005-05-25;Merlangius merlangus;52659.65929518502;433431.0397766839;6
2005-05-25;Merlangius merlangus;54589.18066981051;435747.86256670073;12
2005-05-25;Merlangius merlangus;54942.54631697458;433348.15423471056;5
2005-05-25;Merlangius merlangus;57569.65162110157;439156.5225930235;7
